experiment,dataset,seed,model,method,alpha,pi_train,pi_test,c10,c01,tp,fp,tn,fn,tpr,fpr,tnr,fnr,precision,recall,f1,accuracy,risk,roc_auc,pr_auc,brier,logloss,threshold,neff,n_train,n_train_used,notes,mean_angle_deg,logit_variance
exp3,breast_cancer,2,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,36,0,150,2,0.9473684210526315,0.0,1.0,0.052631578947368474,1.0,0.9473684210526315,0.972972972972973,0.9893617021276596,0.010638297872340425,0.9982456140350878,0.9938440891585948,0.01358551610171027,0.051840635320017966,0.0,381.0,381,381,alpha=1,31.65528615369646,0.776961254711913
exp3,breast_cancer,2,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,38,6,144,0,1.0,0.04,0.96,0.0,0.8636363636363636,1.0,0.926829268292683,0.9680851063829787,0.031914893617021274,0.9989473684210527,0.9964114832535884,0.023102662643843294,0.0808673524039888,0.0,212.80045351473925,381,381,alpha=5,38.69071243135581,1.224941508804853
exp3,breast_cancer,2,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,38,8,142,0,1.0,0.05333333333333334,0.9466666666666667,0.0,0.8260869565217391,1.0,0.9047619047619048,0.9574468085106383,0.0425531914893617,0.9985964912280701,0.9954233409610983,0.03399618857259124,0.11270369832147754,0.0,143.4819734345351,381,381,alpha=10,39.17890913160963,1.2301984305014333
exp3,breast_cancer,2,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,38,11,139,0,1.0,0.07333333333333333,0.9266666666666666,0.0,0.7755102040816326,1.0,0.8735632183908046,0.9414893617021277,0.05851063829787234,0.9971929824561403,0.9902243679187362,0.0515432951311853,0.16369301926857488,0.0,108.47174727243123,381,381,alpha=20,38.614978603739374,1.152475312574698
exp3,breast_cancer,2,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,38,27,123,0,1.0,0.18,0.82,0.0,0.5846153846153846,1.0,0.7378640776699029,0.8563829787234043,0.14361702127659576,0.9978947368421052,0.9928559468661047,0.08910015018154614,0.2727644976166423,0.0,88.54746328262526,381,381,alpha=50,36.71012895909576,0.9769808817903499
exp3,breast_cancer,3,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,38,8,142,0,1.0,0.05333333333333334,0.9466666666666667,0.0,0.8260869565217391,1.0,0.9047619047619048,0.9574468085106383,0.0425531914893617,0.9949122807017543,0.981966725716323,0.043715319128835715,0.1525892401038857,0.0,152.0,381,152,alpha=0,36.838767645144934,0.9575892486166551
exp3,breast_cancer,3,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,36,4,146,2,0.9473684210526315,0.02666666666666667,0.9733333333333334,0.052631578947368474,0.9,0.9473684210526315,0.9230769230769231,0.9680851063829787,0.031914893617021274,0.9985964912280701,0.9949263402408459,0.015427979142971037,0.0576014662310473,0.0,381.0,381,381,alpha=1,31.65528615369646,0.776961254711913
exp3,breast_cancer,3,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,38,7,143,0,1.0,0.04666666666666667,0.9533333333333334,0.0,0.8444444444444444,1.0,0.9156626506024096,0.9627659574468085,0.03723404255319149,0.9985964912280703,0.9949263402408459,0.029320841684435064,0.09817118347513369,0.0,212.80045351473925,381,381,alpha=5,38.69071243135581,1.224941508804853
exp3,breast_cancer,3,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,38,12,138,0,1.0,0.08,0.92,0.0,0.76,1.0,0.8636363636363636,0.9361702127659575,0.06382978723404255,0.9985964912280703,0.9949263402408459,0.0414358891996959,0.13628676739034176,0.0,143.48197343453518,381,381,alpha=10,39.17890913160963,1.2301984305014333
exp3,breast_cancer,3,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,38,16,134,0,1.0,0.10666666666666667,0.8933333333333333,0.0,0.7037037037037037,1.0,0.8260869565217391,0.9148936170212766,0.0851063829787234,0.9985964912280701,0.9949263402408459,0.05976622931844324,0.192222844062147,0.0,108.47174727243123,381,381,alpha=20,38.614978603739374,1.152475312574698
exp3,breast_cancer,3,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,38,30,120,0,1.0,0.2,0.8,0.0,0.5588235294117647,1.0,0.7169811320754716,0.8404255319148937,0.1595744680851064,0.9971929824561405,0.9895957059628433,0.09908537280763456,0.3105098716528235,0.0,88.54746328262526,381,381,alpha=50,36.71012895909576,0.9769808817903499
exp3,breast_cancer,4,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,36,12,138,2,0.9473684210526315,0.08,0.92,0.052631578947368474,0.75,0.9473684210526315,0.8372093023255814,0.925531914893617,0.07446808510638298,0.9926315789473683,0.9764995363867544,0.038190496233869886,0.12176440708745363,0.0,152.0,381,152,alpha=0,36.838767645144934,0.9575892486166551
exp3,breast_cancer,4,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,34,0,150,4,0.8947368421052632,0.0,1.0,0.10526315789473684,1.0,0.8947368421052632,0.9444444444444444,0.9787234042553191,0.02127659574468085,0.996842105263158,0.9889438536789311,0.019568100775957116,0.06717944196007973,0.0,381.0,381,381,alpha=1,31.65528615369646,0.776961254711913
exp3,breast_cancer,4,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,36,2,148,2,0.9473684210526315,0.013333333333333334,0.9866666666666667,0.052631578947368474,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9787234042553191,0.02127659574468085,0.9957894736842104,0.9855696763245239,0.024049689836843358,0.08409078661156108,0.0,212.80045351473925,381,381,alpha=5,38.69071243135581,1.224941508804853
exp3,breast_cancer,4,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,36,8,142,2,0.9473684210526315,0.05333333333333334,0.9466666666666667,0.052631578947368474,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.9468085106382979,0.05319148936170213,0.994561403508772,0.9829181611730087,0.031599869251329,0.10578899271857331,0.0,143.48197343453518,381,381,alpha=10,39.17890913160963,1.2301984305014333
exp3,breast_cancer,4,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,37,14,136,1,0.9736842105263158,0.09333333333333334,0.9066666666666666,0.02631578947368418,0.7254901960784313,0.9736842105263158,0.8314606741573034,0.9202127659574468,0.0797872340425532,0.9942105263157894,0.9819974196027711,0.04599486163929359,0.14451853456249789,0.0,108.47174727243123,381,381,alpha=20,38.614978603739374,1.152475312574698
exp3,breast_cancer,4,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,38,24,126,0,1.0,0.16,0.84,0.0,0.6129032258064516,1.0,0.76,0.8723404255319149,0.1276595744680851,0.9942105263157894,0.982520676188223,0.0793862560134741,0.237253616127617,0.0,88.54746328262526,381,381,alpha=50,36.71012895909576,0.9769808817903499
exp3,breast_cancer,5,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,38,9,141,0,1.0,0.06,0.94,0.0,0.8085106382978723,1.0,0.8941176470588236,0.9521276595744681,0.047872340425531915,0.9959649122807017,0.9852383212730486,0.03866296641945291,0.12689774823430494,0.0,152.0,381,152,alpha=0,36.838767645144934,0.9575892486166551
exp3,breast_cancer,5,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,36,4,146,2,0.9473684210526315,0.02666666666666667,0.9733333333333334,0.052631578947368474,0.9,0.9473684210526315,0.9230769230769231,0.9680851063829787,0.031914893617021274,0.9978947368421053,0.9922947612934775,0.016969167169346027,0.05821389326377131,0.0,381.0,381,381,alpha=1,31.65528615369646,0.776961254711913
exp3,breast_cancer,5,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,38,4,146,0,1.0,0.02666666666666667,0.9733333333333334,0.0,0.9047619047619048,1.0,0.95,0.9787234042553191,0.02127659574468085,0.9978947368421053,0.9922947612934775,0.026781313026245118,0.08755734341016928,0.0,212.8004535147392,381,381,alpha=5,38.69071243135581,1.224941508804853
exp3,breast_cancer,5,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,38,11,139,0,1.0,0.07333333333333333,0.9266666666666666,0.0,0.7755102040816326,1.0,0.8735632183908046,0.9414893617021277,0.05851063829787234,0.9978947368421054,0.9922947612934775,0.03463144493379789,0.1113963819391572,0.0,143.48197343453518,381,381,alpha=10,39.17890913160963,1.2301984305014333
exp3,breast_cancer,5,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,38,11,139,0,1.0,0.07333333333333333,0.9266666666666666,0.0,0.7755102040816326,1.0,0.8735632183908046,0.9414893617021277,0.05851063829787234,0.9978947368421052,0.9922947612934775,0.04682423824277944,0.14771625661293075,0.0,108.47174727243123,381,381,alpha=20,38.614978603739374,1.152475312574698
exp3,breast_cancer,5,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,38,17,133,0,1.0,0.11333333333333333,0.8866666666666667,0.0,0.6909090909090909,1.0,0.8172043010752689,0.9095744680851063,0.09042553191489362,0.9966666666666666,0.9888934007492599,0.07206091353290699,0.22436584109873822,0.0,88.54746328262526,381,381,alpha=50,36.71012895909576,0.9769808817903499
exp3,breast_cancer,6,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,37,17,133,1,0.9736842105263158,0.11333333333333333,0.8866666666666667,0.02631578947368418,0.6851851851851852,0.9736842105263158,0.8043478260869565,0.9042553191489362,0.09574468085106383,0.9910526315789473,0.9740185683512619,0.06248263260284291,0.19026280795179307,0.0,152.0,381,152,alpha=0,36.838767645144934,0.9575892486166551
exp3,breast_cancer,6,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,37,4,146,1,0.9736842105263158,0.02666666666666667,0.9733333333333334,0.02631578947368418,0.9024390243902439,0.9736842105263158,0.9367088607594937,0.973404255319149,0.026595744680851064,0.9980701754385966,0.9933390386535443,0.018520834880077178,0.0652159644910823,0.0,381.0,381,381,alpha=1,31.65528615369646,0.776961254711913
exp3,breast_cancer,6,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,38,7,143,0,1.0,0.04666666666666667,0.9533333333333334,0.0,0.8444444444444444,1.0,0.9156626506024096,0.9627659574468085,0.03723404255319149,0.9980701754385966,0.9933390386535443,0.030879146705845243,0.10232523719929679,0.0,212.8004535147392,381,381,alpha=5,38.69071243135581,1.224941508804853
exp3,breast_cancer,6,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,38,11,139,0,1.0,0.07333333333333333,0.9266666666666666,0.0,0.7755102040816326,1.0,0.8735632183908046,0.9414893617021277,0.05851063829787234,0.9980701754385964,0.9933390386535443,0.04139873775717535,0.13429896463527685,0.0,143.48197343453518,381,381,alpha=10,39.17890913160963,1.2301984305014333
exp3,breast_cancer,6,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,38,16,134,0,1.0,0.10666666666666667,0.8933333333333333,0.0,0.7037037037037037,1.0,0.8260869565217391,0.9148936170212766,0.0851063829787234,0.9980701754385964,0.9933390386535443,0.05845133345720082,0.18399341839268418,0.0,108.47174727243123,381,381,alpha=20,38.614978603739374,1.152475312574698
exp3,breast_cancer,6,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,38,27,123,0,1.0,0.18,0.82,0.0,0.5846153846153846,1.0,0.7378640776699029,0.8563829787234043,0.14361702127659576,0.9966666666666666,0.9888934007492599,0.09379585794214365,0.2876917515054372,0.0,88.54746328262527,381,381,alpha=50,36.71012895909576,0.9769808817903499
exp3,breast_cancer,7,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,37,9,141,1,0.9736842105263158,0.06,0.94,0.02631578947368418,0.8043478260869565,0.9736842105263158,0.8809523809523809,0.9468085106382979,0.05319148936170213,0.997017543859649,0.9897618332286345,0.027160877641051878,0.08790652475960174,0.0,152.0,381,152,alpha=0,36.838767645144934,0.9575892486166551
exp3,breast_cancer,7,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,35,4,146,3,0.9210526315789473,0.02666666666666667,0.9733333333333334,0.07894736842105265,0.8974358974358975,0.9210526315789473,0.9090909090909091,0.9627659574468085,0.03723404255319149,0.9970175438596491,0.9897618332286345,0.017608117687837953,0.05819916635565373,0.0,381.0,381,381,alpha=1,31.65528615369646,0.776961254711913
exp3,breast_cancer,7,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,36,4,146,2,0.9473684210526315,0.02666666666666667,0.9733333333333334,0.052631578947368474,0.9,0.9473684210526315,0.9230769230769231,0.9680851063829787,0.031914893617021274,0.9970175438596491,0.9897618332286345,0.023475350616870366,0.07443990038720498,0.0,212.8004535147392,381,381,alpha=5,38.69071243135581,1.224941508804853
exp3,breast_cancer,7,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,37,9,141,1,0.9736842105263158,0.06,0.94,0.02631578947368418,0.8043478260869565,0.9736842105263158,0.8809523809523809,0.9468085106382979,0.05319148936170213,0.9966666666666667,0.9886572566993932,0.029895978320056464,0.09501194212679148,0.0,143.48197343453518,381,381,alpha=10,39.17890913160963,1.2301984305014333
exp3,breast_cancer,7,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,38,9,141,0,1.0,0.06,0.94,0.0,0.8085106382978723,1.0,0.8941176470588236,0.9521276595744681,0.047872340425531915,0.9966666666666667,0.9886572566993932,0.039230064606629256,0.12696427318090756,0.0,108.47174727243123,381,381,alpha=20,38.614978603739374,1.152475312574698
exp3,breast_cancer,7,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,38,11,139,0,1.0,0.07333333333333333,0.9266666666666666,0.0,0.7755102040816326,1.0,0.8735632183908046,0.9414893617021277,0.05851063829787234,0.9954385964912281,0.9844814305742297,0.05868341122112654,0.19556534774972403,0.0,88.54746328262526,381,381,alpha=50,36.71012895909576,0.9769808817903499
exp3,breast_cancer,8,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,37,7,143,1,0.9736842105263158,0.04666666666666667,0.9533333333333334,0.02631578947368418,0.8409090909090909,0.9736842105263158,0.9024390243902439,0.9574468085106383,0.0425531914893617,0.9952631578947368,0.9836937516274936,0.044406452620521876,0.14229273634416564,0.0,152.0,381,152,alpha=0,36.838767645144934,0.9575892486166551
exp3,breast_cancer,8,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,36,0,150,2,0.9473684210526315,0.0,1.0,0.052631578947368474,1.0,0.9473684210526315,0.972972972972973,0.9893617021276596,0.010638297872340425,0.9982456140350877,0.9938071923996036,0.016928015755743517,0.06963063032297877,0.0,381.0,381,381,alpha=1,31.65528615369646,0.776961254711913
exp3,breast_cancer,8,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,38,14,136,0,1.0,0.09333333333333334,0.9066666666666666,0.0,0.7307692307692307,1.0,0.8444444444444444,0.925531914893617,0.07446808510638298,0.9975438596491228,0.991827974190796,0.0468313236439714,0.14295358760936216,0.0,212.8004535147392,381,381,alpha=5,38.69071243135581,1.224941508804853
exp3,breast_cancer,8,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,38,17,133,0,1.0,0.11333333333333333,0.8866666666666667,0.0,0.6909090909090909,1.0,0.8172043010752689,0.9095744680851063,0.09042553191489362,0.9952631578947368,0.9854992364514524,0.06780981288219513,0.20022327928646283,0.0,143.48197343453515,381,381,alpha=10,39.17890913160963,1.2301984305014333
exp3,breast_cancer,8,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,38,27,123,0,1.0,0.18,0.82,0.0,0.5846153846153846,1.0,0.7378640776699029,0.8563829787234043,0.14361702127659576,0.9947368421052631,0.984305995997376,0.09301614977154017,0.27705638356461254,0.0,108.47174727243123,381,381,alpha=20,38.614978603739374,1.152475312574698
exp3,breast_cancer,8,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,38,31,119,0,1.0,0.20666666666666667,0.7933333333333333,0.0,0.5507246376811594,1.0,0.7102803738317757,0.8351063829787234,0.16489361702127658,0.9936842105263157,0.9807092818743461,0.13107448169463745,0.41008896161433844,0.0,88.5474632826253,381,381,alpha=50,36.71012895909576,0.9769808817903499
exp3,breast_cancer,9,LogisticRegression,undersample,0,0.2,0.2,1.0,1.0,38,14,136,0,1.0,0.09333333333333334,0.9066666666666666,0.0,0.7307692307692307,1.0,0.8444444444444444,0.925531914893617,0.07446808510638298,1.0,0.9999999999999999,0.03990581338872771,0.13237875235667115,0.0,152.0,381,152,alpha=0,36.838767645144934,0.9575892486166551
exp3,breast_cancer,9,LogisticRegression,weighted_alpha1,1,0.2,0.2,1.0,1.0,37,0,150,1,0.9736842105263158,0.0,1.0,0.02631578947368418,1.0,0.9736842105263158,0.9866666666666667,0.9946808510638298,0.005319148936170213,1.0,0.9999999999999999,0.011573046176291756,0.054086969008741784,0.0,381.0,381,381,alpha=1,31.65528615369646,0.776961254711913
exp3,breast_cancer,9,LogisticRegression,weighted_alpha5,5,0.2,0.2,1.0,1.0,38,7,143,0,1.0,0.04666666666666667,0.9533333333333334,0.0,0.8444444444444444,1.0,0.9156626506024096,0.9627659574468085,0.03723404255319149,0.9992982456140351,0.9974937343358395,0.025616783701129398,0.09230785467709429,0.0,212.8004535147392,381,381,alpha=5,38.69071243135581,1.224941508804853
exp3,breast_cancer,9,LogisticRegression,weighted_alpha10,10,0.2,0.2,1.0,1.0,38,9,141,0,1.0,0.06,0.94,0.0,0.8085106382978723,1.0,0.8941176470588236,0.9521276595744681,0.047872340425531915,0.9992982456140351,0.9974937343358395,0.039324948115950484,0.12688900613700624,0.0,143.48197343453518,381,381,alpha=10,39.17890913160963,1.2301984305014333
exp3,breast_cancer,9,LogisticRegression,weighted_alpha20,20,0.2,0.2,1.0,1.0,38,20,130,0,1.0,0.13333333333333333,0.8666666666666667,0.0,0.6551724137931034,1.0,0.7916666666666666,0.8936170212765957,0.10638297872340426,0.9996491228070176,0.9986842105263157,0.06114145191667889,0.18213121489366663,0.0,108.4717472724312,381,381,alpha=20,38.614978603739374,1.152475312574698
exp3,breast_cancer,9,LogisticRegression,weighted_alpha50,50,0.2,0.2,1.0,1.0,38,29,121,0,1.0,0.19333333333333333,0.8066666666666666,0.0,0.5671641791044776,1.0,0.7238095238095238,0.8457446808510638,0.15425531914893617,0.9996491228070176,0.9986842105263157,0.10735900365333637,0.3081784657542315,0.0,88.54746328262526,381,381,alpha=50,36.71012895909576,0.9769808817903499
